area,price,bedrooms,toilets,legal_status,latitude,longitude,price_square,furniture,house_direction_x,house_direction_y,balcony_direction_x,balcony_direction_y,location_group
89.5,5.0,2,2,1,21.052269,105.88481,55.865921787709496,1,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
155.0,14.5,3,3,1,21.046152114868164,105.9156494140625,93.54838709677419,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
42.2,3.0,1,2,3,21.0062065124512,105.737075805664,71.09004739336493,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
50.0,0.98,2,1,1,21.0101335218645,105.818904992748,19.599999999999998,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
60.0,5.2,2,1,1,21.059675216674805,105.8040771484375,86.66666666666667,2,-0.7071067811865475,0.7071067811865476,6.123233995736766e-17,1.0,2
69.04,3.95,2,2,1,21.0561302835868,105.884257871658,57.21320973348784,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
49.0,3.1,1,1,1,20.9919315658835,105.785496588313,63.265306122448976,2,-1.8369701987210297e-16,-1.0,-0.7071067811865477,-0.7071067811865475,0
87.0,19.8,25,25,1,21.0037646483561,105.811047923889,227.58620689655174,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
108.0,4.2,3,2,3,21.024967193603516,105.77131652832031,38.88888888888889,2,-1.0,1.2246467991473532e-16,6.123233995736766e-17,1.0,0
86.0,5.5,3,2,1,21.01499366760254,105.78269958496094,63.95348837209303,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
56.0,3.6,2,1,1,21.02819061279297,105.7791976928711,64.28571428571429,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
130.0,7.0,3,2,1,21.0202007293701,105.808876037598,53.84615384615385,2,-0.7071067811865477,-0.7071067811865475,-1.8369701987210297e-16,-1.0,0
53.0,2.1,1,1,0,20.9604053497314,105.794692993164,39.62264150943397,2,-1.8369701987210297e-16,-1.0,-1.0,1.2246467991473532e-16,0
99.0,6.0,3,2,1,20.9992893834177,105.811202507767,60.60606060606061,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
120.0,7.5,3,2,1,20.9875198421383,105.858726767129,62.5,2,-1.8369701987210297e-16,-1.0,-0.7071067811865477,-0.7071067811865475,0
108.0,6.4,3,2,0,21.0003790283733,105.869792525743,59.25925925925926,1,-1.8369701987210297e-16,-1.0,-0.7071067811865477,-0.7071067811865475,0
63.0,1.99,2,2,0,20.960784034491958,105.79914665222171,31.58730158730159,1,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
42.2,2.78,1,1,0,21.011585235595703,105.73583984375,65.87677725118482,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
74.0,5.5,2,2,1,21.0557422637939,105.777221679688,74.32432432432432,2,-0.7071067811865475,0.7071067811865476,6.123233995736766e-17,1.0,0
75.0,4.6,3,2,0,21.015907287597656,105.78018188476562,61.33333333333333,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
54.0,2.5,2,2,1,20.9732913970947,105.820007324219,46.29629629629629,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
107.0,5.5,4,2,3,20.993579864502,105.798210144043,51.401869158878505,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
82.5,4.5,2,2,1,20.9712047576904,105.801055908203,54.54545454545454,2,0.7071067811865474,-0.7071067811865477,-1.8369701987210297e-16,-1.0,0
66.8,4.55,2,2,3,21.0523986816406,105.780181884766,68.11377245508982,2,-1.0,1.2246467991473532e-16,0.7071067811865474,-0.7071067811865477,0
111.0,7.0,3,2,3,20.998947143554688,105.8041763305664,63.063063063063055,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
89.53,4.9,2,2,0,21.052268981933594,105.88481140136719,54.7302580140735,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
62.57,6.6,2,2,1,21.00580596923828,105.79437255859375,105.48186031644558,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
183.0,10.614,4,3,1,21.009666442871094,105.79374694824219,58.0,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
85.0,5.5,3,2,1,20.973968505859375,105.82169342041016,64.70588235294119,2,-1.8369701987210297e-16,-1.0,-0.7071067811865477,-0.7071067811865475,0
115.0,9.5,3,2,3,20.9959945678711,105.861267089844,82.6086956521739,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
95.0,5.4,3,2,1,20.984243392944336,105.8084487915039,56.8421052631579,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
135.0,6.75,3,2,1,20.9974040985107,105.804061889648,50.0,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
83.0,5.2,2,2,0,21.0568239832925,105.728917096702,62.65060240963856,0,-1.8369701987210297e-16,-1.0,-0.7071067811865477,-0.7071067811865475,0
109.0,6.0,3,2,0,21.000560760498047,105.80291748046875,55.04587155963303,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
66.0,4.2,2,2,1,21.0311622619629,105.760414123535,63.63636363636364,2,-1.8369701987210297e-16,-1.0,6.123233995736766e-17,1.0,0
88.0,9.35,2,2,1,21.0658321380615,105.826507568359,106.25,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,2
78.0,5.2,2,2,1,20.9855403900146,105.798942565918,66.66666666666667,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
64.0,4.15,2,2,1,20.9565197859038,105.850524650131,64.84375,1,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
120.0,6.5,3,2,3,20.9870262145996,105.786834716797,54.16666666666667,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
110.0,7.85,3,2,1,20.9947910308838,105.86784362793,71.36363636363636,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
90.0,5.5,3,2,1,21.003246307373047,105.80506134033203,61.11111111111111,2,-1.8369701987210297e-16,-1.0,-1.0,1.2246467991473532e-16,0
166.0,9.5,3,2,1,21.0069580078125,105.801078796387,57.2289156626506,1,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
76.0,4.8,2,2,1,20.99453353881836,105.78939056396484,63.15789473684211,2,-0.7071067811865477,-0.7071067811865475,-1.8369701987210297e-16,-1.0,0
82.5,4.0,2,2,3,20.99358,105.79821,48.484848484848484,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
90.0,4.3,3,3,1,20.9709017614713,105.760046028277,47.77777777777777,1,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
95.0,6.9,3,2,1,20.9962978363037,105.805633544922,72.63157894736842,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
80.0,7.5,2,2,1,21.037153244018555,105.78633880615234,93.75,2,0.7071067811865474,-0.7071067811865477,1.0,0.0,0
70.0,5.0,2,2,1,20.99911880493164,105.80844116210938,71.42857142857143,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
100.0,5.8,3,2,1,21.0291709899902,105.76895904541,57.99999999999999,2,-1.8369701987210297e-16,-1.0,-0.7071067811865477,-0.7071067811865475,0
58.0,3.7,2,1,1,21.014148712158203,105.78872680664062,63.793103448275865,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
97.0,4.48,3,2,1,20.979528,105.78757,46.185567010309285,1,-0.7071067811865477,-0.7071067811865475,-1.8369701987210297e-16,-1.0,0
108.0,6.4,3,2,1,20.9859520767147,105.806667045122,59.25925925925926,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
57.0,3.65,2,1,1,20.963834762573242,105.82245635986328,64.03508771929825,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
120.0,5.4,3,2,1,20.996829986572266,105.79383850097656,45.00000000000001,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
62.0,4.4,2,2,3,21.0062065124512,105.737075805664,70.96774193548387,1,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
86.0,5.2,3,2,1,21.01499366760254,105.78269958496094,60.46511627906977,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
112.5,5.75,3,3,1,21.05980110168457,105.89872741699219,51.111111111111114,1,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
111.0,6.6,3,2,1,20.9945335388184,105.789390563965,59.45945945945945,2,-0.7071067811865477,-0.7071067811865475,-1.8369701987210297e-16,-1.0,0
110.7,7.5,2,2,3,21.014102935791016,105.80178833007812,67.75067750677506,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
139.0,8.34,3,2,1,20.963682174682617,105.7737045288086,60.0,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
70.0,3.5,3,2,1,21.0345859527588,105.762992858887,50.0,0,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
94.0,6.0,3,2,3,20.9966850280762,105.873847961426,63.82978723404255,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
62.0,4.6,2,2,3,21.006206512451172,105.73707580566406,74.19354838709677,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
140.0,8.4,3,2,0,21.031177520751953,105.78939819335938,60.00000000000001,2,-0.7071067811865477,-0.7071067811865475,-1.8369701987210297e-16,-1.0,0
67.0,4.1,2,2,1,20.9739685058594,105.82169342041,61.19402985074626,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
127.0,8.8,3,2,1,21.032211303710938,105.79969787597656,69.29133858267717,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
82.0,5.0,2,2,1,20.9859714508057,105.79833984375,60.97560975609756,2,-0.7071067811865477,-0.7071067811865475,-1.0,1.2246467991473532e-16,0
76.0,4.5,3,2,3,20.9730930328369,105.838371276855,59.21052631578947,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
92.0,5.7,2,2,1,21.0359511892246,105.794158462596,61.95652173913044,2,-1.0,1.2246467991473532e-16,-1.8369701987210297e-16,-1.0,0
75.0,4.0,2,2,3,20.9732913970947,105.820007324219,53.333333333333336,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
163.0,15.0,4,2,1,20.999119,105.80844,92.02453987730061,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
103.0,5.6,3,2,3,20.973291397094727,105.82000732421875,54.36893203883495,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
65.0,3.6,2,1,3,21.0463090139423,105.799415293315,55.38461538461539,1,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
65.0,4.5,2,1,1,21.0190563201904,105.787979125977,69.23076923076924,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
64.0,3.25,2,2,1,21.059005737304688,105.7832260131836,50.78125,0,-0.7071067811865475,0.7071067811865476,6.123233995736766e-17,1.0,0
125.0,5.2,3,2,1,20.996280670166016,105.79325103759766,41.6,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
84.0,5.0,3,2,3,20.9763984680176,105.814575195313,59.52380952380952,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
70.0,4.3,2,2,1,21.028190612793,105.779197692871,61.42857142857142,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
88.0,3.0,3,2,1,21.0780814215138,105.691406273497,34.090909090909086,2,-1.0,1.2246467991473532e-16,1.0,0.0,0
90.0,5.8,3,2,1,20.986,105.81219,64.44444444444444,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
85.0,6.5,3,2,1,21.032211303710938,105.79969787597656,76.47058823529413,2,-1.8369701987210297e-16,-1.0,-0.7071067811865477,-0.7071067811865475,0
100.0,5.5,3,2,3,21.01743507385254,105.7803955078125,55.0,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
95.0,6.8,2,2,1,21.0348981332661,105.79448412002,71.57894736842104,2,0.7071067811865474,-0.7071067811865477,-1.8369701987210297e-16,-1.0,0
89.0,6.5,2,2,1,21.059675216674805,105.8040771484375,73.03370786516854,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,2
