area,price,longitude,latitude,legal,furniture,frontage,floor,bedroom,toilet
45.0,10.3,105.877024445371,21.0471762667257,1.0,2.0,3.5,6.0,3.0,4.0
40.0,12.0,105.871452671394,21.0471396688654,1.0,2.0,,5.0,4.0,4.0
65.0,11.9,105.872112620769,21.0439694680114,1.0,2.0,5.2,3.0,3.0,3.0
48.0,7.6,105.774105726783,21.023568967696,1.0,2.0,,,,
31.0,5.35,105.909772645399,21.0106199062741,1.0,,4.91,5.0,3.0,
50.0,11.0,105.871938144106,21.0378976592085,1.0,2.0,4.5,5.0,4.0,3.0
22.0,4.7,105.842708499449,21.0466780139148,1.0,2.0,3.0,5.0,3.0,4.0
40.0,7.6,105.866748268551,21.0497767526313,1.0,2.0,,5.0,3.0,4.0
40.0,7.7,105.794524621894,21.0346279176757,1.0,1.0,,4.0,4.0,
60.0,10.8,105.872883551115,21.0391670810759,1.0,2.0,,4.0,4.0,4.0
68.0,24.0,105.811256231548,21.0035109385381,1.0,2.0,,5.0,6.0,5.0
28.0,6.25,105.821768321883,20.9979745967315,1.0,2.0,4.0,4.0,3.0,4.0
50.0,11.89,105.898109094811,21.0657177463521,1.0,2.0,,6.0,5.0,4.0
89.0,7.9,105.842669523437,20.9973742186493,1.0,2.0,6.0,4.0,7.0,4.0
34.0,8.8,105.774456225164,21.0312831207652,1.0,1.0,,5.0,3.0,
50.0,6.45,105.810325021037,21.0441139117423,1.0,1.0,4.1,5.0,3.0,3.0
38.0,13.5,105.813369640875,20.992130034543,1.0,2.0,4.0,6.0,3.0,4.0
34.0,7.5,105.799536821316,21.03180231624,1.0,2.0,5.0,4.0,4.0,4.0
32.0,8.6,105.825784317119,21.0349083101908,1.0,1.0,,5.0,4.0,4.0
105.0,31.0,105.835946264335,21.0068368422095,1.0,2.0,4.8,5.0,10.0,10.0
46.0,10.1,105.81074638167,21.035791926401,1.0,2.0,5.5,4.0,4.0,2.0
37.0,9.26,105.809209250422,21.0608365214249,1.0,1.0,3.8,5.0,3.0,3.0
36.0,9.5,105.817212024119,20.9976579447095,1.0,2.0,3.0,5.0,6.0,4.0
92.0,24.5,105.866784314272,21.0496132726958,1.0,3.0,,8.0,,
110.0,17.2,105.804435601902,21.08953357082,1.0,1.0,7.8,2.0,3.0,2.0
89.0,18.8,105.855432655772,21.0182538995948,1.0,1.0,11.0,2.0,2.0,2.0
54.0,8.9,105.867189838391,20.9980351729257,1.0,3.0,3.8,5.0,6.0,3.0
32.0,5.98,105.740805747816,21.050718067366,1.0,1.0,4.5,5.0,4.0,5.0
38.0,6.98,105.860748702394,20.998978590762,,2.0,3.0,5.0,5.0,3.0
60.0,18.2,105.80465086869,21.0593810421623,1.0,1.0,4.5,4.0,3.0,3.0
60.0,14.2,105.867586106443,20.9616474720853,1.0,2.0,8.0,6.0,4.0,4.0
50.0,9.0,105.779098228122,20.9680329510543,1.0,2.0,,3.0,3.0,3.0
65.0,19.0,105.8379003365,21.0691220349953,1.0,1.0,4.5,5.0,5.0,4.0
27.0,4.0,105.83660023648,21.0116790662903,1.0,2.0,2.0,3.0,3.0,3.0
50.0,16.0,105.817741298805,21.0143826132024,1.0,2.0,,6.0,4.0,5.0
42.0,6.3,105.751229163087,20.9456102274962,1.0,2.0,,5.0,4.0,5.0
34.0,6.59,105.892769484814,21.0263689508994,1.0,1.0,5.0,6.0,3.0,
45.0,16.9,105.814201546452,21.0477420362099,1.0,2.0,4.0,5.0,3.0,4.0
60.0,11.9,105.857504881416,20.9957513844237,1.0,2.0,,,12.0,12.0
48.8,8.89,105.806239089503,21.0644024198831,1.0,2.0,4.0,4.0,4.0,3.0
35.0,6.25,105.768982450875,21.0135029842432,1.0,1.0,3.2,4.0,4.0,4.0
40.0,6.4,105.745643056768,21.0594896876587,1.0,1.0,,4.0,4.0,3.0
35.0,8.45,105.817577557883,20.995505414301,1.0,2.0,5.5,6.0,4.0,4.0
65.0,12.8,105.779404671431,20.9681865318305,1.0,2.0,5.0,3.0,4.0,3.0
35.0,5.2,105.730937462981,21.0728261531976,1.0,2.0,,5.0,7.0,7.0
34.0,5.9,105.757985275515,21.0011192705769,1.0,1.0,,,,
25.0,5.1,105.832702963971,21.0164641959103,1.0,2.0,3.9,4.0,3.0,3.0
60.0,14.7,105.788525168288,21.0317632118714,1.0,2.0,8.0,8.0,14.0,14.0
