frontage,access_road_width,area,price,longitude,latitude
3.6,10.0,49.8,7.5,105.720740122926,21.0627247132787
5.0,3.0,46.3,2.7,106.013324,21.0389601
4.0,3.0,60.5,5.0,105.903140001206,21.0086037504834
5.52,2.5,85.7,4.3,105.961751970545,21.0253584691229
12.170175438596493,9.597043491671808,150.0,75.0,105.806217099469,21.0232476890879
4.6,5.0,86.5,12.2,105.935601647492,21.0095515559923
12.170175438596493,9.597043491671808,77.0,0.89,105.734908796752,20.7172241029832
4.0,4.0,82.6,0.99,105.422203552068,21.1716482126951
6.0,4.0,62.0,12.7,105.799598010294,21.0317562975265
10.45,9.597043491671808,168.0,35.0,105.808681264613,21.0840007072914
8.0,6.0,190.0,43.5,105.754150453945,21.0506619100161
12.170175438596493,9.597043491671808,59.0,1.9,106.006520670429,21.0482561632134
4.5,13.0,79.0,7.0,105.9329585757,20.9884957145221
5.0,7.0,112.0,2.91,105.514936042436,21.0327273127542
6.4,3.0,101.0,3.2,105.678179806436,20.9897393026301
5.5,4.5,100.0,3.8,105.715028137035,20.9084913770305
8.0,9.597043491671808,200.0,34.5,105.903440429289,21.008324832058
12.170175438596493,2.0,41.5,0.495,105.7721804651,20.6036041132546
12.170175438596493,9.597043491671808,87.0,12.0,105.773317739067,21.0805060974954
5.0,3.5,51.0,2.09,105.622905045867,21.0953608135422
5.5,5.0,180.0,1.85,105.5791651072,20.8850578039429
12.170175438596493,3.0,104.0,1.1,105.701592020666,20.6667168162976
4.0,3.5,70.4,5.3,105.941041147542,20.9792796598481
3.9,2.0,40.0,3.0,105.702673388297,21.0617462802378
4.0,2.5,55.0,4.2,105.660197006014,21.087925374779
12.170175438596493,9.597043491671808,97.0,6.8,105.950698286277,20.9839358028649
3.6,2.0,32.3,3.25,105.715768517098,21.0543667774624
4.0,9.597043491671808,40.0,3.0,105.916521801427,20.9970026019597
5.0,6.0,60.0,7.5,105.89292402675,21.0264003127574
12.170175438596493,9.597043491671808,69.2,3.3,105.708501191829,20.9194511085711
12.170175438596493,9.597043491671808,42.0,1.75,105.916266880007,21.150732782895
4.0,3.0,50.0,3.55,105.93091360508,20.9900881550373
6.5,14.0,130.0,4.2,105.726459223534,20.8852333407963
5.5,3.5,68.0,9.75,105.867169555172,21.0496783253969
4.6,3.5,98.0,4.5,105.781084486323,21.1943284724312
45.0,12.0,66.0,15.9,105.806099423921,21.0644877916996
11.0,9.597043491671808,200.0,45.0,105.809090913458,21.0871760418639
4.0,9.597043491671808,43.0,3.9,105.768792501654,20.9412213152855
5.0,15.0,90.0,12.0,105.866350286328,21.0497900475665
5.0,8.0,62.0,1.6,105.515577735977,21.0593245348888
3.5,9.597043491671808,40.0,2.0,105.846403401575,21.1610008424934
6.0,7.0,95.0,10.7,105.902947458152,21.0380936595984
5.0,4.0,74.0,2.95,105.545612666571,21.0197531937193
12.170175438596493,7.0,60.0,7.4,105.903219088135,21.0386286986638
4.0,6.0,68.0,1.38,105.545900824265,21.0685628876121
4.0,4.0,80.0,10.8,105.8930876,21.026428
7.5,15.0,125.0,22.5,105.901725211068,21.0549364211915
50.0,21.0,800.0,46.0,105.866969147344,21.0495936612369
5.1,9.597043491671808,78.0,28.0,105.792365669463,21.0183696318272
40.0,9.597043491671808,270.0,34.0,105.8729201,21.0392207
12.170175438596493,9.597043491671808,80.0,13.3,105.8927628,21.0538895
12.170175438596493,13.0,90.0,13.4,105.907798543534,21.024855487962
5.0,7.0,99.0,11.3,105.884415031873,21.0288901947996
6.0,6.0,80.0,10.0,105.883325978648,21.0493669070588
4.0,7.0,50.0,4.2,105.896055082389,21.0766997272484
5.0,6.0,75.0,2.6,105.570699590879,21.0515289758256
77.0,10.0,143.0,50.0,105.8012822,20.9937318
17.2,25.0,435.0,140.0,105.804369574308,21.0600415852119
4.9,30.0,71.0,28.0,105.8225012,21.0057491
7.7,6.0,156.0,33.0,105.824026,21.0087573
4.6,3.5,98.0,4.5,105.780923257298,21.19414252536
7.2,25.0,126.0,57.0,105.789002370117,21.0315137163896
4.0,3.5,55.0,8.2,105.807220189721,21.0622915121935
4.5,8.0,85.0,14.0,105.731614915529,21.0532380914885
5.0,2.5,100.0,15.0,105.799606339309,21.0321817506052
12.170175438596493,9.597043491671808,90.0,3.1,105.548408124364,21.0403967484138
12.170175438596493,2.0,54.0,6.0,105.789531965367,21.0751907943386
5.5,5.0,65.3,1.6,105.547827659745,21.0408557467939
6.15,9.597043491671808,80.0,5.8,105.831270349226,21.1776850027551
5.8,9.597043491671808,54.0,9.4,105.888394249244,21.054646298341
8.9,10.0,292.0,58.0,105.821179810574,20.9828851166564
4.0,4.0,38.0,5.8,105.755101907696,20.9680566749074
18.56,10.0,856.8,6.0,105.413927723614,21.080457012393
5.9,2.8,94.0,12.9,105.838018401783,21.0696431529018
10.9,6.0,659.0,3.6,105.413974137974,21.0800652016822
4.7,3.0,50.0,2.7,105.870092888192,21.1157970691065
5.5,8.0,71.0,1.7,105.44419096215,21.1158973627628
6.0,2.8,94.0,12.8,105.8378366,21.0695076
7.25,5.0,79.3,1.83,105.61384877597,21.0254314065032
5.0,2.5,73.0,12.0,105.835765954596,21.0558526248166
12.170175438596493,9.597043491671808,63.0,2.65,105.930970072502,20.9903884741901
7.0,4.0,134.5,21.5,105.811376135221,21.0903130438277
7.0,40.0,153.0,41.0,105.833173534807,21.0606064425577
12.170175438596493,9.597043491671808,89.8,11.0,105.895533931471,21.0639849896532
4.0,6.0,60.0,6.6,105.935764969483,21.0095507257315
4.0,10.0,50.0,6.0,105.794051764454,20.9772353729458
4.0,9.597043491671808,67.0,6.68,105.768102277245,20.9652776284818
5.1,10.0,67.0,15.8,105.8378366,21.0695076
7.0,10.0,64.0,2.7,105.539588789702,21.0401275302811
4.4,8.0,80.0,4.4,105.78926606115,20.8418720316419
12.170175438596493,9.597043491671808,54.0,2.12,105.696487641498,20.9659855437253
5.4,15.0,82.0,16.8,105.912258965878,21.0640128985012
12.170175438596493,9.597043491671808,126.0,2.37,105.85054387736,21.3227028111439
12.170175438596493,9.597043491671808,40.0,2.0,105.697234364321,20.9659674952528
68.0,5.0,60.4,1.28,105.54641788858,21.0687093795297
12.170175438596493,8.0,1234.0,4.9,105.444707907007,21.0517818895772
12.170175438596493,9.597043491671808,109.0,22.0,105.915385153711,21.059320949625
5.0,8.0,60.5,0.98,105.462586427762,21.0783512890234
5.6,4.0,79.0,0.879,105.696824013789,20.6283744961552
10.7,9.597043491671808,110.0,37.0,105.809027774903,21.0607798794248
4.5,9.597043491671808,70.0,4.2,105.833978259335,21.1777648362187
12.170175438596493,3.0,63.0,2.65,105.931076482716,20.990377071572
5.0,5.0,150.0,1.75,105.515632590148,21.0595392267481
4.0,9.597043491671808,42.0,4.9,105.897997145858,21.0655728091196
4.7,5.0,64.0,4.05,105.988646670569,21.0244684736861
4.0,9.597043491671808,152.0,3.23,105.77779990135,21.2767204323155
